,date,pandemic,average_bike_usage,sem_bike_usage,day_of_week,day,month
0,2018-08-01,pre-pandemic,64.47061379418062,0.26147960407645143,1970-01-07,1970-01-01,1970-08-01
1,2018-08-02,pre-pandemic,64.56168609375173,0.195324544924904,1970-01-08,1970-01-02,1970-08-01
2,2018-08-03,pre-pandemic,63.87932983812655,0.18938342338094266,1970-01-09,1970-01-03,1970-08-01
3,2018-08-04,pre-pandemic,61.45432214066077,0.18309076414461567,1970-01-10,1970-01-04,1970-08-01
4,2018-08-05,pre-pandemic,60.479611199979466,0.1826784579203356,1970-01-11,1970-01-05,1970-08-01
5,2018-08-06,pre-pandemic,60.98200469679274,0.18720252599581177,1970-01-05,1970-01-06,1970-08-01
6,2018-08-07,pre-pandemic,64.90769538102053,0.1901220820147059,1970-01-06,1970-01-07,1970-08-01
7,2018-08-08,pre-pandemic,64.95699478009945,0.19845017066131335,1970-01-07,1970-01-08,1970-08-01
8,2018-08-09,pre-pandemic,64.5392384161155,0.2002122295869719,1970-01-08,1970-01-09,1970-08-01
9,2018-08-10,pre-pandemic,64.4962909706122,0.19174935745177077,1970-01-09,1970-01-10,1970-08-01
10,2018-08-11,pre-pandemic,61.12600265581013,0.18521649990824593,1970-01-10,1970-01-11,1970-08-01
11,2018-08-12,pre-pandemic,61.104152515011606,0.18734166496825566,1970-01-11,1970-01-12,1970-08-01
12,2018-08-13,pre-pandemic,64.94805629660664,0.19150722697851985,1970-01-05,1970-01-13,1970-08-01
13,2018-08-14,pre-pandemic,64.93970133603341,0.20088122117082707,1970-01-06,1970-01-14,1970-08-01
14,2018-08-15,pre-pandemic,64.2042664665767,0.1900385781380875,1970-01-07,1970-01-15,1970-08-01
15,2018-08-16,pre-pandemic,64.3420808756451,0.19102948291632757,1970-01-08,1970-01-16,1970-08-01
16,2018-08-17,pre-pandemic,62.979000012917744,0.1843901129632326,1970-01-09,1970-01-17,1970-08-01
17,2018-08-18,pre-pandemic,61.15133668428413,0.1723644620166526,1970-01-10,1970-01-18,1970-08-01
18,2018-08-19,pre-pandemic,60.108670169473456,0.1861620035780074,1970-01-11,1970-01-19,1970-08-01
19,2018-08-20,pre-pandemic,63.915599577777904,0.1841287773258835,1970-01-05,1970-01-20,1970-08-01
20,2018-08-21,pre-pandemic,65.32294673943608,0.18876377846408976,1970-01-06,1970-01-21,1970-08-01
21,2018-08-22,pre-pandemic,65.15974182473256,0.19184478966386495,1970-01-07,1970-01-22,1970-08-01
22,2018-08-23,pre-pandemic,64.26738480320756,0.1911611150148586,1970-01-08,1970-01-23,1970-08-01
23,2018-08-24,pre-pandemic,64.11651364556187,0.1871396422098207,1970-01-09,1970-01-24,1970-08-01
24,2018-08-25,pre-pandemic,73.83692119829078,0.18895624801366787,1970-01-10,1970-01-25,1970-08-01
25,2018-08-26,pre-pandemic,68.47241558197179,0.17332103572115576,1970-01-11,1970-01-26,1970-08-01
26,2018-08-27,pre-pandemic,64.59962402313255,0.19092823399311676,1970-01-05,1970-01-27,1970-08-01
27,2018-08-28,pre-pandemic,64.92171145076999,0.19979201366939026,1970-01-06,1970-01-28,1970-08-01
28,2018-08-29,pre-pandemic,64.73966983822483,0.1972099645757089,1970-01-07,1970-01-29,1970-08-01
29,2018-08-30,pre-pandemic,64.93212741415537,0.19286656113471018,1970-01-08,1970-01-30,1970-08-01
30,2018-08-31,pre-pandemic,64.42865028194831,0.19159872895581367,1970-01-09,1970-01-31,1970-08-01
31,2018-09-01,pre-pandemic,61.87394349757148,0.18183045873498474,1970-01-10,1970-01-01,1970-09-01
32,2018-09-02,pre-pandemic,61.83928756721328,0.17534408275107818,1970-01-11,1970-01-02,1970-09-01
33,2018-09-03,pre-pandemic,65.2355324882234,0.1841516859382187,1970-01-05,1970-01-03,1970-09-01
34,2018-09-04,pre-pandemic,66.06931743902165,0.1980998078215978,1970-01-06,1970-01-04,1970-09-01
35,2018-09-05,pre-pandemic,65.7261203181913,0.1990661951633456,1970-01-07,1970-01-05,1970-09-01
36,2018-09-06,pre-pandemic,64.1947120242475,0.18323565698795852,1970-01-08,1970-01-06,1970-09-01
37,2018-09-07,pre-pandemic,64.40658737787061,0.18871066209537746,1970-01-09,1970-01-07,1970-09-01
38,2018-09-08,pre-pandemic,61.40331366302914,0.1756090695433048,1970-01-10,1970-01-08,1970-09-01
39,2018-09-09,pre-pandemic,61.57951659886518,0.1717480328010663,1970-01-11,1970-01-09,1970-09-01
40,2018-09-10,pre-pandemic,64.58476593139048,0.18389133349185438,1970-01-05,1970-01-10,1970-09-01
41,2018-09-11,pre-pandemic,65.35146825304841,0.19517370712902266,1970-01-06,1970-01-11,1970-09-01
42,2018-09-12,pre-pandemic,65.41271555986259,0.19156328079139748,1970-01-07,1970-01-12,1970-09-01
43,2018-09-13,pre-pandemic,65.03888976664027,0.19222557664295356,1970-01-08,1970-01-13,1970-09-01
44,2018-09-14,pre-pandemic,63.88783755030773,0.1879296274940337,1970-01-09,1970-01-14,1970-09-01
45,2018-09-15,pre-pandemic,61.49030565902339,0.19026441731452254,1970-01-10,1970-01-15,1970-09-01
46,2018-09-16,pre-pandemic,61.4117246416698,0.17896643174253601,1970-01-11,1970-01-16,1970-09-01
47,2018-09-17,pre-pandemic,65.42477469012103,0.1859934323031118,1970-01-05,1970-01-17,1970-09-01
48,2018-09-18,pre-pandemic,65.24403994506434,0.19650633604037374,1970-01-06,1970-01-18,1970-09-01
49,2018-09-19,pre-pandemic,64.15245743266962,0.1928986354119574,1970-01-07,1970-01-19,1970-09-01
50,2018-09-20,pre-pandemic,63.291902809451976,0.1873026782305126,1970-01-08,1970-01-20,1970-09-01
51,2018-09-21,pre-pandemic,62.957422558496155,0.18812478438713598,1970-01-09,1970-01-21,1970-09-01
52,2018-09-22,pre-pandemic,60.13103645113063,0.18834176282754003,1970-01-10,1970-01-22,1970-09-01
53,2018-09-23,pre-pandemic,61.55813562599287,0.178511793736828,1970-01-11,1970-01-23,1970-09-01
54,2018-09-24,pre-pandemic,65.49026179232474,0.1856091060429856,1970-01-05,1970-01-24,1970-09-01
55,2018-09-25,pre-pandemic,65.83887511119897,0.19784346790237461,1970-01-06,1970-01-25,1970-09-01
56,2018-09-26,pre-pandemic,66.16457869767918,0.19398368781422803,1970-01-07,1970-01-26,1970-09-01
