,date,hour,pandemic,average_bike_usage,sem_bike_usage
0,2018-08-01,1970-01-01 12:00:00,pre-pandemic,63.72645788255266,1.421525777684119
1,2018-08-01,1970-01-01 13:00:00,pre-pandemic,64.04403682832047,0.9799394213824647
2,2018-08-01,1970-01-01 14:00:00,pre-pandemic,63.404431271412186,0.9241410804489363
3,2018-08-01,1970-01-01 15:00:00,pre-pandemic,66.14169080912264,0.8196179722806892
4,2018-08-01,1970-01-01 16:00:00,pre-pandemic,70.2656936773838,0.7721323548293991
5,2018-08-01,1970-01-01 17:00:00,pre-pandemic,68.11476053171172,0.8103083486660674
6,2018-08-01,1970-01-01 18:00:00,pre-pandemic,64.96134742734836,0.8413547313994229
7,2018-08-01,1970-01-01 19:00:00,pre-pandemic,62.84155809141975,0.8849567392974411
8,2018-08-01,1970-01-01 20:00:00,pre-pandemic,62.71875601053712,0.8806675753466714
9,2018-08-01,1970-01-01 21:00:00,pre-pandemic,62.68107119876197,0.8384207024216023
10,2018-08-01,1970-01-01 22:00:00,pre-pandemic,62.352565862336725,0.9232565961791974
11,2018-08-01,1970-01-01 23:00:00,pre-pandemic,62.022917983446106,0.96363164842665
12,2018-08-02,1970-01-01 00:00:00,pre-pandemic,61.493557011785725,0.9754235443064403
13,2018-08-02,1970-01-01 01:00:00,pre-pandemic,61.44937768360162,0.9760840151900172
14,2018-08-02,1970-01-01 02:00:00,pre-pandemic,61.44937768360162,0.9760840151900172
15,2018-08-02,1970-01-01 03:00:00,pre-pandemic,61.44937768360162,0.9760840151900172
16,2018-08-02,1970-01-01 04:00:00,pre-pandemic,61.400076628650595,0.9536333382021418
17,2018-08-02,1970-01-01 05:00:00,pre-pandemic,62.58605150122469,0.8624826821844924
18,2018-08-02,1970-01-01 06:00:00,pre-pandemic,65.38433965598797,0.7165557042436729
19,2018-08-02,1970-01-01 07:00:00,pre-pandemic,70.8173647041985,0.792030359899712
20,2018-08-02,1970-01-01 08:00:00,pre-pandemic,67.57242922171046,1.0689308429972126
21,2018-08-02,1970-01-01 09:00:00,pre-pandemic,64.1695541877331,1.078601260148578
22,2018-08-02,1970-01-01 10:00:00,pre-pandemic,64.40663897451286,1.0882355856578037
23,2018-08-02,1970-01-01 11:00:00,pre-pandemic,66.75694106105819,1.0623698973585118
24,2018-08-02,1970-01-01 12:00:00,pre-pandemic,67.78807704155311,1.0151382350118388
25,2018-08-02,1970-01-01 13:00:00,pre-pandemic,66.00376717813171,0.9871037899574074
26,2018-08-02,1970-01-01 14:00:00,pre-pandemic,65.3402237851973,0.9925891819367575
27,2018-08-02,1970-01-01 15:00:00,pre-pandemic,66.22686872160915,0.900147147090747
28,2018-08-02,1970-01-01 16:00:00,pre-pandemic,69.68159668079585,0.8696104040715
29,2018-08-02,1970-01-01 17:00:00,pre-pandemic,67.66440041728654,0.8681498937158494
30,2018-08-02,1970-01-01 18:00:00,pre-pandemic,65.35828041848147,0.8917371184153391
31,2018-08-02,1970-01-01 19:00:00,pre-pandemic,63.42763682605183,0.9243678796920385
32,2018-08-02,1970-01-01 20:00:00,pre-pandemic,62.926711405268996,0.9498892605078036
33,2018-08-02,1970-01-01 21:00:00,pre-pandemic,62.0632283273033,0.9240134090850407
34,2018-08-02,1970-01-01 22:00:00,pre-pandemic,62.049970873302215,0.9500082028907895
35,2018-08-02,1970-01-01 23:00:00,pre-pandemic,62.01461857739322,1.0056826463080784
36,2018-08-03,1970-01-01 00:00:00,pre-pandemic,61.48929162522529,1.0222336065228466
37,2018-08-03,1970-01-01 01:00:00,pre-pandemic,61.434417854755196,1.0217643326297794
38,2018-08-03,1970-01-01 02:00:00,pre-pandemic,61.39700241596361,1.0219732837637963
39,2018-08-03,1970-01-01 03:00:00,pre-pandemic,61.3946856705276,1.021908952507734
40,2018-08-03,1970-01-01 04:00:00,pre-pandemic,61.67373308352514,0.9942792668882072
41,2018-08-03,1970-01-01 05:00:00,pre-pandemic,62.31378109196322,0.8812620872821374
42,2018-08-03,1970-01-01 06:00:00,pre-pandemic,64.31133604943065,0.7449960026610287
43,2018-08-03,1970-01-01 07:00:00,pre-pandemic,67.70954463605645,0.7472177420098409
44,2018-08-03,1970-01-01 08:00:00,pre-pandemic,65.84694068401168,0.9269211393064332
45,2018-08-03,1970-01-01 09:00:00,pre-pandemic,63.14902549616254,0.9943757692882093
46,2018-08-03,1970-01-01 10:00:00,pre-pandemic,63.185420566492546,0.9953399197393791
47,2018-08-03,1970-01-01 11:00:00,pre-pandemic,65.208922435939,0.9933648506148725
48,2018-08-03,1970-01-01 12:00:00,pre-pandemic,65.71919595788988,0.9387172196948592
49,2018-08-03,1970-01-01 13:00:00,pre-pandemic,64.23932506857042,0.9525391515940336
50,2018-08-03,1970-01-01 14:00:00,pre-pandemic,64.20447251256861,0.9152871988728679
51,2018-08-03,1970-01-01 15:00:00,pre-pandemic,67.21221489604187,0.9046995580810143
52,2018-08-03,1970-01-01 16:00:00,pre-pandemic,68.2449567952617,0.867067456456171
53,2018-08-03,1970-01-01 17:00:00,pre-pandemic,66.00688200428634,0.8722273336199249
54,2018-08-03,1970-01-01 18:00:00,pre-pandemic,64.0477581786772,0.8845358860403689
55,2018-08-03,1970-01-01 19:00:00,pre-pandemic,63.48608913667149,0.91224018867039
56,2018-08-03,1970-01-01 20:00:00,pre-pandemic,63.50176900593063,0.8570376094643131
57,2018-08-03,1970-01-01 21:00:00,pre-pandemic,62.37692106445206,0.8648358607207245
58,2018-08-03,1970-01-01 22:00:00,pre-pandemic,62.3359847844247,0.8878372105588935
59,2018-08-03,1970-01-01 23:00:00,pre-pandemic,62.61424510020938,0.9353612557201961
